"Revised.Stimuli","modals","order","parenthesis","ID","NewID","List"
"""Do you know where Janet is? The boss is looking for her."" ""Janet must, the manager said, probably be using the restroom."" How likely is it that Janet is using the restroom?","must/probably","highlow","yes","1","1_highlow_yes","5"
"""The train is stopping. Where are we now?"" ""We are probably around Richmond."" How likely is it that the passengers are around Richmond?","must/probably","lowonly","no","2","2_lowonly_no","5"
"""Whose car is this? I haven't seen it before."" ""The car must be Professor Murray's."" How likely is it that the car is Professor Murray's?","must/probably","highonly","no","3","3_highonly_no","5"
"""How much is Claudia's new purse?"" ""Her purse probably must be over a hundred dollars."" How likely is it that Claudia's new purse costs over a hundred dollars?","must/probably","lowhigh","no","4","4_lowhigh_no","5"
"""Where is my green cap?"" ""Your cap would possibly be in the basement."" How likely is it that the cap is in the basement?","would/possibly","highlow","no","5","5_highlow_no","5"
"""Whose hat is this?"" ""That hat, the cleaner said, is possibly Miss Swift's."" How likely is it that the hat is Miss Swift's?","would/possibly","lowonly","yes","6","6_lowonly_yes","5"
"""Where is my red pen?"" ""Your pen, after we reorganized the office yesterday, would be in the yellow pencil box."" How likely is it that the red pen is in the yellow pencil box?","would/possibly","highonly","yes","7","7_highonly_yes","5"
"""What will the weather be like if you travel to Taipei tomorrow?"" ""The weather possibly, according to the forecast, would be windy."" How likely is it that the weather in Taipei tomorrow will be windy?","would/possibly","lowhigh","yes","8","8_lowhigh_yes","5"
"""Where is my blue shirt?"" ""Your shirt probably, our mom said, might be in the bottom drawer of the dresser."" How likely is it that the blue shirt is in the bottom drawer of the dresser?","probably/might","highlow","yes","9","9_highlow_yes","5"
"""What time is it now?"" ""It might be around 6 o'clock."" How likely is it that it's around 6 o'clock?","probably/might","lowonly","no","10","10_lowonly_no","5"
"""Who is the man over there? I can't see him clearly."" ""The man is probably Mr. Gomes."" How likely is it that the man is Mr. Gomes?","probably/might","highonly","no","11","11_highonly_no","5"
"""What does Henry do for work now?"" ""Henry might probably work at a coffee shop."" How likely is it that Henry works in a coffee shop?","probably/might","lowhigh","no","12","12_lowhigh_no","5"
"""Why didn't Tom tell Julia about that incident? Did he forget it?"" ""Tom certainly may have forgotten."" How likely is it that Tom has forgotten?","certainly/may","highlow","no","13","13_highlow_no","5"
"""What is in that box, some stationery?"" ""The box, the postman said, may contain some stationery."" How likely is it that some stationery is in the box?","certainly/may","lowonly","yes","14","14_lowonly_yes","5"
"""Whose bike is it? I haven't seen it before."" ""The bike, according to its stylish design, certainly is Michael's."" How likely is it that the bike is Michael's?","certainly/may","highonly","yes","15","15_highonly_yes","5"
"""Where is Bob? His mother is looking for him."" ""Bob may, the neighbour suggested, certainly be in the candy shop."" How likely is it that Bob is in the candy shop?","certainly/may","lowhigh","yes","16","16_lowhigh_yes","5"
"""What will mom buy from the supermarket? Some seafood?"" ""Your mother definitely, I think, may buy some seafood.""How likely is it that mom will buy some seafood from the supermarket?","definitely/may","highlow","yes","17","17_highlow_yes","5"
"""Tom is not happy these days. Does that have something to do with the election?"" ""The election may have made him unhappy."" How likely is it that Tom is not happy because of the election?","definitely/may","lowonly","no","18","18_lowonly_no","5"
"""This soup tastes weird. Does it have star anise?"" ""The soup definitely has some star anise in it."" How likely is it that the soup has some star anise in it?","definitely/may","highonly","no","19","19_highonly_no","5"
"""The apple pie tastes very good. Where did Jane get the recipe? From her mom?"" ""Jane may definitely have gotten the recipe from her mom."" How likely is it that Jane got the apple pie recipe from her mom?","definitely/may","lowhigh","no","20","20_lowhigh_no","5"
"""Anna's new hairstyle looks very pretty. Where did she get her hair cut? From the new salon downtown?"" ""Anna definitely might have gotten her hair cut from the new salon downtown."" How likely is it that Anna got her new hairstyle from the new salon downtown?","definitely/might","highlow","no","21","21_highlow_no","5"
"""Jackson didn't come to school this morning. Did he go out drinking last night?"" ""Jackson, according to what I heard, might have gone out drinking last night."" How likely is it that Jackson drank some alcohol last night?","definitely/might","lowonly","yes","22","22_lowonly_yes","5"
"""Ellen has moved to a new place. Is it because of the problem with her neighbour?"" ""The problem, I think, is definitely the reason she moved."" How likely is it that Ellen moved to a new place due to the problem she has with her neighbour?","definitely/might","highonly","yes","23","23_highonly_yes","5"
"""Bob hasn't arrived yet. Do you think he hit traffic on his way home?"" ""Bob might, according to the radio, definitely have hit traffic on his way home."" How likely is it that there is traffic on Bob's way home?","definitely/might","lowhigh","yes","24","24_lowhigh_yes","5"
"""Angelica is very happy these days. Is it because of her brother's wedding?"" ""Angelica certainly, if I'm not mistaken, might be happy for her brother's wedding."" How likely is it that Angelica is happy because of her brother's wedding?","certainly/might","highlow","yes","25","25_highlow_yes","5"
"""Miss Williams looks very tired these days. Is it because of her term project?"" ""Miss Williams might be tired due to her term project."" How likely is it that Miss Williams looks tired because of her term project?","certainly/might","lowonly","no","26","26_lowonly_no","5"
"""Chris looks worried these days. Is it because of her father's illness?"" ""Chris certainly looks worried due to her father's illness."" How likely is it that Chris looks worried because of his father's illness?","certainly/might","highonly","no","27","27_highonly_no","5"
"""Jason has been absent for two days. I wonder if he has caught a flu like his father did?"" ""Jason might certainly have a flu."" How likely is it that Jason has caught a flu?","certainly/might","lowhigh","no","28","28_lowhigh_no","5"
"""I feel very sick. Is it because of the sushi I ate tonight?"" ""Something must possibily have been wrong with the sushi you ate."" How likely is it that the sushi makes the speaker feel sick?","possibly/must","highlow","no","29","29_highlow_no","5"
"""The house smells very bad. Is there something rotten here?"" ""The smell, I think, is possibly from something rotting in the house."" How likely is it that something is rotting in the house?","possibly/must","lowonly","yes","30","30_lowonly_yes","5"
"""The water is very cold. I think that boiler doesn't work very well."" ""Something, the landlord suggested, must be wrong with the boiler."" How likely is it that the boiler does not work well?","possibly/must","highonly","yes","31","31_highonly_yes","5"
"""I cannot reach Peter. Do you think he has left his phone in his office again?"" ""Peter possibly, according to his boss, must have left his phone in his office."" How likely is it that Peter lost his phone in his office?","possibly/must","lowhigh","yes","32","32_lowhigh_yes","5"
"""Do you know if the professor has any copies of the previous exam papers?"" ""The professor had, according to his assistant, at least five folders of previous exam papers in his locker.""How likely is it that the professor kept some copies of the previous exam papers?","Filler","Filler","Filler","F_1","F_1","NA"
"""Do you think the manager will be in his office later today?"" ""The manager has, according to his secretary, been on vacation since yesterday, and he is in Paris now."" How likely is it that the manager will be in his office later today?","Filler","Filler","Filler","F_2","F_2","NA"
